fecha,id_camion,tipo_camion,id_chofer,nombre_chofer,viajes,tierra_transportada,combustible,litros_cargados
2023-01-01,Vol-04,Volquete Pequeño,CH-03,Chofer 3,6,44.21,406.96,415.64
2023-01-01,Vol-14,Volquete Grande,CH-01,Chofer 1,2,18.85,244.85,250.01
2023-01-01,Art-16,Articulado,CH-10,Chofer 10,3,39.24,528.41,549.33
2023-01-01,Vol-03,Volquete Pequeño,CH-17,Chofer 17,5,31.37,359.89,356.66
2023-01-01,Art-19,Articulado,CH-11,Chofer 11,1,9.19,235.43,237.76
2023-01-01,Vol-06,Volquete Mediano,CH-19,Chofer 19,4,32.05,538.31,521.43
2023-01-01,Vol-13,Volquete Grande,CH-11,Chofer 11,3,26.35,381.98,376.49
2023-01-01,Vol-11,Volquete Grande,CH-01,Chofer 1,4,39.63,564.62,553.59
2023-01-01,Art-20,Articulado,CH-06,Chofer 6,1,10.57,193.39,188.02
2023-01-01,Vol-02,Volquete Pequeño,CH-19,Chofer 19,4,19.86,284.0,285.65
2023-01-01,Vol-08,Volquete Mediano,CH-20,Chofer 20,3,22.6,427.94,447.73
2023-01-01,Vol-15,Volquete Grande,CH-07,Chofer 7,1,7.52,122.21,123.55
2023-01-01,Art-17,Articulado,CH-02,Chofer 2,2,19.83,325.29,320.25
2023-01-01,Vol-12,Volquete Grande,CH-01,Chofer 1,3,32.95,537.42,523.55
2023-01-01,Vol-09,Volquete Mediano,CH-04,Chofer 4,3,21.5,341.23,332.43
2023-01-01,Art-18,Articulado,CH-06,Chofer 6,3,36.93,608.59,583.65
2023-01-01,Vol-07,Volquete Mediano,CH-01,Chofer 1,3,27.86,361.18,368.25
2023-01-02,Vol-12,Volquete Grande,CH-10,Chofer 10,4,48.73,613.25,615.07
2023-01-02,Vol-05,Volquete Pequeño,CH-02,Chofer 2,3,17.19,284.68,286.34
2023-01-02,Vol-10,Volquete Mediano,CH-23,Chofer 23,3,25.97,417.18,433.33
2023-01-02,Vol-11,Volquete Grande,CH-24,Chofer 24,1,7.82,171.06,178.51
2023-01-02,Vol-06,Volquete Mediano,CH-04,Chofer 4,4,28.64,403.48,410.08
2023-01-02,Vol-15,Volquete Grande,CH-18,Chofer 18,4,35.17,611.7,623.43
2023-01-02,Art-16,Articulado,CH-16,Chofer 16,1,8.31,189.32,193.94
2023-01-02,Art-18,Articulado,CH-03,Chofer 3,2,29.53,410.93,394.23
2023-01-02,Vol-14,Volquete Grande,CH-19,Chofer 19,2,16.81,357.47,356.99
2023-01-02,Vol-13,Volquete Grande,CH-08,Chofer 8,4,44.79,670.75,670.93
2023-01-02,Vol-02,Volquete Pequeño,CH-15,Chofer 15,3,17.59,218.95,208.54
2023-01-02,Art-17,Articulado,CH-17,Chofer 17,2,19.4,479.13,477.69
2023-01-02,Vol-08,Volquete Mediano,CH-14,Chofer 14,3,18.48,421.68,418.65
2023-01-02,Vol-01,Volquete Pequeño,CH-21,Chofer 21,5,31.15,476.85,456.6
2023-01-02,Vol-09,Volquete Mediano,CH-21,Chofer 21,3,24.45,341.67,338.07
2023-01-02,Art-19,Articulado,CH-22,Chofer 22,1,10.15,205.6,197.32
2023-01-02,Vol-07,Volquete Mediano,CH-15,Chofer 15,5,46.01,647.28,660.39
2023-01-03,Vol-02,Volquete Pequeño,CH-02,Chofer 2,4,19.27,330.02,314.71
2023-01-03,Vol-15,Volquete Grande,CH-25,Chofer 25,3,25.98,366.99,359.77
2023-01-03,Vol-05,Volquete Pequeño,CH-11,Chofer 11,4,18.53,322.85,331.56
2023-01-03,Art-19,Articulado,CH-12,Chofer 12,2,22.36,351.1,347.99
2023-01-03,Vol-11,Volquete Grande,CH-03,Chofer 3,4,47.8,654.26,685.4
2023-01-03,Vol-14,Volquete Grande,CH-10,Chofer 10,4,39.37,585.35,560.68
2023-01-03,Vol-06,Volquete Mediano,CH-05,Chofer 5,2,12.14,199.76,198.33
